gene,obs,exp,obs - exp
CD70,1,0.03924696872977508,0.9607530312702249
RTN4RL1,1,0.039349224366356995,0.960650775633643
EZR,1,0.03960677191488634,0.9603932280851136
IPO7,1,0.03971553610492989,0.9602844638950702
MEPE,1,0.03985610148707294,0.960143898512927
BNC2,1,0.04005112910105072,0.9599488708989493
RAB15,1,0.04007132024845158,0.9599286797515484
PGM3,1,0.04012778789307356,0.9598722121069264
C15orf57,1,0.04015575565828585,0.9598442443417141
DCTD,1,0.04016576346815838,0.9598342365318416
BLZF1,1,0.040238450074528614,0.9597615499254714
C6orf118,1,0.040258806614031056,0.959741193385969
ZNF689,1,0.040386772456669204,0.9596132275433308
PCDHGC4,1,0.0405593050664329,0.9594406949335671
MAX,1,0.04087889626995446,0.9591211037300456
PKNOX1,1,0.04089415391833321,0.9591058460816668
OR8B12,1,0.04110504622941526,0.9588949537705848
IKZF1,1,0.04145536504894394,0.958544634951056
AGBL2,1,0.04191845445257025,0.9580815455474297
ST8SIA4,1,0.04217490179878056,0.9578250982012194
RAB17,1,0.042276422764216226,0.9577235772357837
TMTC4,1,0.042509072058004777,0.9574909279419952
MCM10,1,0.04256295907657323,0.9574370409234267
TRIM48,1,0.04291071157574974,0.9570892884242502
AP1G2,1,0.04297740363310177,0.9570225963668982
C3orf67,1,0.043062200956935,0.956937799043065
MNDA,1,0.043235071806281195,0.9567649281937188
ARHGEF10L,1,0.043290615226379905,0.9567093847736201
ZMYND10,1,0.0433660811758234,0.9566339188241766
FRZB,1,0.043414176604422754,0.9565858233955773
TBC1D21,1,0.04353329664436213,0.9564667033556379
HADH,1,0.04354615892647709,0.9564538410735229
TUFT1,1,0.04367301231813859,0.9563269876818614
SDR42E1,1,0.04372540445990702,0.956274595540093
TM9SF4,1,0.04391217564867504,0.956087824351325
C8orf84,1,0.0439722916348452,0.9560277083651548
PCDHGA5,1,0.0442756292172489,0.9557243707827511
OIT3,1,0.04485645933018025,0.9551435406698198
R3HDM1,1,0.04533613866226628,0.9546638613377337
THEG,1,0.045584307946913136,0.9544156920530869
TDRD10,1,0.045643153526896726,0.9543568464731033
SULT1C2,1,0.046153846153863975,0.953846153846136
CYBB,1,0.0463031645061927,0.9536968354938073
MAGEL2,1,0.04658746797116925,0.9534125320288307
SCTR,1,0.04723618090452764,0.9527638190954724
OR5AR1,1,0.04744525547443849,0.9525547445255615
BICD1,1,0.04747774480702647,0.9525222551929735
