gene,pi,ll,llr,mut_count,mut_freq,mut_frac
C17orf97,0.0,-0.0612107310452281,0.0,1,1,1.0
UPF1,3.3306690738754696e-16,-0.3463315167937656,-8.082423619271141e-14,1,1,1.0
NEB,3.3306690738754696e-16,-0.3881008201861227,-8.082423619271141e-14,1,1,1.0
ARHGEF5,3.3306690738754696e-16,-0.3573458597639223,-8.082423619271141e-14,1,1,1.0
CENPF,3.3306690738754696e-16,-0.3308588433283552,-8.082423619271141e-14,1,1,1.0
FAT1,3.3306690738754696e-16,-0.406072826124768,-8.082423619271141e-14,1,1,1.0
NAT8L,3.3306690738754696e-16,-0.3582122232576075,-8.082423619271141e-14,1,1,1.0
PRAMEF16,3.3306690738754696e-16,-0.364643113588089,-8.082423619271141e-14,1,1,1.0
NLRP11,3.3306690738754696e-16,-0.3948148526433619,-8.082423619271141e-14,1,1,1.0
HELZ,3.3306690738754696e-16,-0.3449767061793359,-8.082423619271141e-14,1,1,1.0
DYNC2H1,3.3306690738754696e-16,-0.4020020746539053,-8.082423619271141e-14,1,1,1.0
KCNT1,3.3306690738754696e-16,-0.3287665427742872,-8.082423619271141e-14,1,1,1.0
KIAA1109,3.3306690738754696e-16,-0.398481142779969,-8.082423619271141e-14,1,1,1.0
SCN3A,3.3306690738754696e-16,-0.4093422010046602,-8.082423619271141e-14,1,1,1.0
NOTCH2,3.3306690738754696e-16,-0.5189633371410918,-1.2145839889399213e-13,1,1,1.0
MUC6,3.3306690738754696e-16,-0.5096172767426349,-1.2145839889399213e-13,1,1,1.0
RIF1,3.3306690738754696e-16,-0.503611069973037,-1.2145839889399213e-13,1,1,1.0
MLLT4,3.3306690738754696e-16,-0.5253537243289128,-1.2145839889399213e-13,1,1,1.0
LRIT1,3.3306690738754696e-16,-0.4578330936263549,-1.2156942119645464e-13,1,1,1.0
SORCS3,3.3306690738754696e-16,-0.4116570783590458,-1.2156942119645464e-13,1,1,1.0
UQCC,3.3306690738754696e-16,-0.4499598749585555,-1.2156942119645464e-13,1,1,1.0
VCAN,3.3306690738754696e-16,-0.4377326725080518,-1.2156942119645464e-13,1,1,1.0
DNAH5,3.3306690738754696e-16,-0.4841388244240686,-1.2156942119645464e-13,1,1,1.0
ZBED4,3.3306690738754696e-16,-0.4737389018192214,-1.2156942119645464e-13,1,1,1.0
PTPRE,3.3306690738754696e-16,-0.4160171540734762,-1.2156942119645464e-13,1,1,1.0
MXRA5,3.3306690738754696e-16,-0.5179565067083485,-1.2168044349891718e-13,1,1,1.0
DOCK2,3.3306690738754696e-16,-1.2165651842662482,-1.2168044349891718e-13,1,1,1.0
PLEC,3.3306690738754696e-16,-0.5366538311446373,-1.2168044349891718e-13,1,1,1.0
MLL2,3.3306690738754696e-16,-0.453923063498284,-1.2168044349891718e-13,1,1,1.0
FREM2,3.3306690738754696e-16,-0.5341723546299062,-1.2168044349891718e-13,1,1,1.0
BPTF,3.3306690738754696e-16,-0.5214890586285645,-1.2168044349891718e-13,1,1,1.0
KATNAL2,3.3306690738754696e-16,-0.5124227492816016,-1.2168044349891718e-13,1,1,1.0
DIAPH2,3.3306690738754696e-16,-0.5322168137473562,-1.2168044349891718e-13,1,1,1.0
HERC2,3.3306690738754696e-16,-0.5192739498889448,-1.2168044349891718e-13,1,1,1.0
DOPEY2,3.3306690738754696e-16,-0.5238569589928982,-1.2168044349891718e-13,1,1,1.0
SCML2,3.3306690738754696e-16,-7.576166248138241,-1.2434497875801753e-13,1,1,1.0
PTPRN,3.3306690738754696e-16,-4.539452995133907,-1.2789769243681806e-13,1,1,1.0
DCHS2,3.3306690738754696e-16,-0.5511903968727792,-1.6164847238542282e-13,1,1,1.0
COL22A1,4.440892098500626e-16,-0.6368316386070446,-1.6164847238542282e-13,1,1,1.0
GPR98,4.440892098500626e-16,-0.6247239021978103,-1.6164847238542282e-13,1,1,1.0
ADAMTS17,4.440892098500626e-16,-0.5919707714254754,-1.6164847238542282e-13,1,1,1.0
SIGLEC1,4.440892098500626e-16,-0.6242900956170515,-1.6164847238542282e-13,1,1,1.0
SIDT2,4.440892098500626e-16,-0.6482547694523317,-1.6164847238542282e-13,1,1,1.0
AKAP12,4.440892098500626e-16,-0.6453608387219799,-1.6164847238542282e-13,1,1,1.0
VPS13B,4.440892098500626e-16,-0.549629384841036,-1.6164847238542282e-13,1,1,1.0
ARHGAP39,4.440892098500626e-16,-0.6468866771866386,-1.6164847238542282e-13,1,1,1.0
CUL9,4.440892098500626e-16,-0.5990338889895055,-1.6164847238542282e-13,1,1,1.0
C2,4.440892098500626e-16,-0.5835849780486014,-1.6164847238542282e-13,1,1,1.0
DNAH3,4.440892098500626e-16,-0.5461738198356115,-1.6164847238542282e-13,1,1,1.0
DNAH11,4.440892098500626e-16,-0.5785609149898745,-1.6164847238542282e-13,1,1,1.0
C9orf93,3.3306690738754696e-16,-0.5555258026851071,-1.6164847238542282e-13,1,1,1.0
LRFN3,4.440892098500626e-16,-0.6334279458580694,-1.6164847238542282e-13,1,1,1.0
QRICH2,4.440892098500626e-16,-0.6203002276089035,-1.6164847238542282e-13,1,1,1.0
POM121C,4.440892098500626e-16,-0.6413140319237652,-1.6164847238542282e-13,1,1,1.0
MTMR3,3.3306690738754696e-16,-0.5377868174947154,-1.6187051699034782e-13,1,1,1.0
MYST4,3.3306690738754696e-16,-0.5401769616147148,-1.6209256159527285e-13,1,1,1.0
KLF15,3.3306690738754696e-16,-0.5389965007333963,-1.6209256159527285e-13,1,1,1.0
CELSR3,6.661338147750939e-16,-0.7444961320289722,-2.0183854587685346e-13,1,1,1.0
KRTAP26-1,6.661338147750939e-16,-0.7357067949788442,-2.0183854587685346e-13,1,1,1.0
ANK2,6.661338147750939e-16,-0.7334812511982008,-2.0183854587685346e-13,1,1,1.0
OTOA,6.661338147750939e-16,-0.7414657578309388,-2.0183854587685346e-13,1,1,1.0
MED14,6.661338147750939e-16,-0.7430882096942797,-2.0183854587685346e-13,1,1,1.0
ELMOD1,6.661338147750939e-16,-0.7314293671313568,-2.0183854587685346e-13,1,1,1.0
TUBGCP6,6.661338147750939e-16,-0.7315314235712422,-2.0183854587685346e-13,1,1,1.0
COL5A3,6.661338147750939e-16,-0.6984550486396176,-2.0206059048177852e-13,1,1,1.0
TBC1D8,6.661338147750939e-16,-0.7027130417483124,-2.0206059048177852e-13,1,1,1.0
RP1,6.661338147750939e-16,-0.6931471805638567,-2.0206059048177852e-13,1,1,1.0
PKIB,6.661338147750939e-16,-0.7008100533056145,-2.0206059048177852e-13,1,1,1.0
